participant id,gender,age,min age,max age
497,F,45.0,44.0,46.0
498,M,25.0,22.0,28.0
499,F,33.0,31.0,35.0
500,F,40.0,39.0,41.0
501,M,41.0,39.0,43.0
502,F,28.0,26.0,30.0
503,M,34.5,34.0,35.0
504,F,43.0,41.0,45.0
505,F,51.0,49.0,53.0
506,F,55.0,53.0,57.0
507,F,32.0,32.0,32.0
508,M,48.0,46.0,50.0
509,M,33.0,31.0,35.0
510,M,41.0,53.0,29.0
511,M,48.0,46.0,50.0
512,M,43.5,42.0,45.0
513,M,39.5,38.0,41.0
514,M,38.0,36.0,40.0
515,M,50.5,51.0,50.0
516,M,45.0,43.0,47.0
517,M,45.5,44.0,47.0
518,M,53.0,51.0,55.0
519,M,38.0,36.0,40.0
520,M,22.0,19.0,25.0
521,M,29.0,28.0,30.0
522,F,50.0,48.0,52.0
523,M,38.0,36.0,40.0
524,M,38.0,36.0,40.0
525,M,28.0,26.0,30.0
526,M,33.0,31.0,35.0
527,F,43.0,41.0,45.0
528,M,39.0,38.0,40.0
529,M,38.0,36.0,40.0
530,M,25.5,24.0,27.0
531,M,49.0,48.0,50.0
532,F,43.0,41.0,45.0
533,M,65.5,64.0,67.0
534,M,22.0,19.0,25.0
535,F,38.0,36.0,40.0
536,F,30.5,31.0,30.0
537,M,22.0,19.0,25.0
538,M,53.0,51.0,55.0
539,M,37.5,36.0,39.0
540,F,33.0,31.0,35.0
541,M,60.0,58.0,62.0
542,F,48.0,46.0,50.0
543,M,38.0,36.0,40.0
544,F,43.0,41.0,45.0
545,M,40.0,54.0,26.0
546,M,28.0,26.0,30.0
547,F,22.0,19.0,25.0
548,M,27.0,26.0,28.0
549,M,56.0,56.0,56.0
550,F,28.0,26.0,30.0
551,F,40.0,40.0,40.0
552,M,58.0,56.0,60.0
553,M,22.0,19.0,25.0
554,M,44.5,43.0,46.0
555,M,45.0,43.0,47.0
556,M,43.0,41.0,45.0
557,F,38.5,38.0,39.0
558,M,48.0,46.0,50.0
559,F,48.0,46.0,50.0
560,M,38.0,36.0,40.0
561,M,22.0,19.0,25.0
562,M,38.0,36.0,40.0
563,M,35.0,33.0,37.0
564,M,30.0,29.0,31.0
565,M,53.0,51.0,55.0
566,M,,14.0,
567,M,22.0,19.0,25.0
568,F,53.0,51.0,55.0
569,M,24.0,21.0,27.0
570,M,22.0,19.0,25.0
571,M,28.0,26.0,30.0
572,M,36.0,34.0,38.0
573,M,48.5,48.0,49.0
574,M,30.5,31.0,30.0
575,M,43.0,41.0,45.0
576,M,28.0,26.0,30.0
577,MF,54.5,54.0,55.0
578,M,33.0,31.0,35.0
579,M,50.0,48.0,52.0
580,M,57.5,56.0,59.0
581,M,39.0,38.0,40.0
582,M,33.0,31.0,35.0
583,M,44.0,43.0,45.0
584,M,33.0,31.0,35.0
585,M,58.0,56.0,60.0
586,F,32.0,32.0,32.0
587,M,38.0,36.0,40.0
588,F,32.0,32.0,32.0
589,M,40.5,41.0,40.0
590,M,21.5,21.0,22.0
591,M,23.0,21.0,25.0
592,F,50.0,50.0,50.0
593,M,28.0,26.0,30.0
594,M,50.0,49.0,51.0
595,M,41.0,39.0,43.0
596,F,38.0,36.0,40.0
597,M,30.0,28.0,32.0
598,M,43.0,41.0,45.0
599,F,48.0,46.0,50.0
600,M,40.5,48.0,33.0
601,F,34.0,33.0,35.0
602,F,38.0,36.0,40.0
603,M,36.5,36.0,37.0
604,M,28.0,26.0,30.0
605,F,48.0,46.0,50.0
606,F,39.5,39.0,40.0
607,M,28.0,26.0,30.0
608,F,53.0,51.0,55.0
609,M,40.5,39.0,42.0
610,M,42.0,42.0,42.0
611,M,45.0,43.0,47.0
612,M,48.0,46.0,50.0
613,M,39.5,39.0,40.0
614,M,22.0,19.0,25.0
615,M,46.0,46.0,46.0
616,M,38.0,36.0,40.0
617,M,43.0,41.0,45.0
618,M,48.0,46.0,50.0
619,F,28.0,26.0,30.0
620,M,58.0,56.0,60.0
621,F,53.0,51.0,55.0
622,M,38.0,36.0,40.0
623,M,22.0,19.0,25.0
624,M,36.5,36.0,37.0
625,M,33.0,31.0,35.0
626,M,40.0,38.0,42.0
627,F,53.0,51.0,55.0
628,F,33.0,34.0,32.0
629,M,28.0,26.0,30.0
630,M,43.0,41.0,45.0
631,F,17.0,16.0,18.0
632,M,45.0,43.0,47.0
633,M,43.0,41.0,45.0
634,M,41.0,41.0,41.0
635,M,54.5,54.0,55.0
636,F,36.0,34.0,38.0
637,M,51.0,49.0,53.0
638,M,45.5,46.0,45.0
639,M,40.0,40.0,40.0
640,M,63.0,61.0,65.0
641,M,43.0,41.0,45.0
642,M,31.0,34.0,28.0
643,M,48.0,46.0,50.0
644,M,53.0,51.0,55.0
645,M,35.0,35.0,35.0
646,F,28.0,26.0,30.0
647,M,43.0,41.0,45.0
648,M,28.0,26.0,30.0
649,M,40.5,41.0,40.0
650,M,30.5,29.0,32.0
651,M,60.0,58.0,62.0
652,M,58.0,56.0,60.0
653,M,39.0,38.0,40.0
654,M,39.5,39.0,40.0
655,M,25.0,22.0,28.0
656,M,43.0,41.0,45.0
657,M,34.5,34.0,35.0
658,F,40.0,38.0,42.0
659,M,30.5,29.0,32.0
660,M,30.0,28.0,32.0
661,M,53.0,53.0,53.0
662,M,31.0,29.0,33.0
663,F,38.0,36.0,40.0
664,F,37.0,36.0,38.0
665,M,46.0,44.0,48.0
666,M,35.0,33.0,37.0
667,F,50.5,51.0,50.0
668,M,23.5,22.0,25.0
669,M,43.0,43.0,43.0
670,M,58.0,56.0,60.0
671,M,32.0,31.0,33.0
672,M,28.0,26.0,30.0
673,M,47.5,48.0,47.0
674,M,44.5,44.0,45.0
675,M,33.0,31.0,35.0
676,M,40.0,43.0,37.0
677,M,42.5,43.0,42.0
678,M,48.0,46.0,50.0
679,M,53.5,52.0,55.0
680,M,17.0,16.0,18.0
681,F,48.5,47.0,50.0
682,F,48.0,46.0,50.0
683,M,43.0,41.0,45.0
684,M,42.0,42.0,42.0
685,F,22.0,19.0,25.0
686,M,43.0,41.0,45.0
687,M,32.0,32.0,32.0
688,M,58.0,56.0,60.0
689,M,38.0,36.0,40.0
690,M,44.0,51.0,37.0
691,M,28.0,26.0,30.0
692,F,25.0,23.0,27.0
693,M,48.0,46.0,50.0
694,M,30.0,28.0,32.0
695,M,28.0,26.0,30.0
696,M,28.0,26.0,30.0
697,F,33.0,31.0,35.0
698,M,38.0,36.0,40.0
699,M,27.0,27.0,27.0
700,M,45.5,41.0,50.0
701,M,33.0,31.0,35.0
702,M,33.0,31.0,35.0
703,F,28.0,26.0,30.0
704,M,41.0,40.0,42.0
705,M,30.0,29.0,31.0
706,M,41.0,39.0,43.0
707,M,38.0,36.0,40.0
708,M,44.5,44.0,45.0
709,M,38.0,36.0,40.0
710,F,25.0,22.0,28.0
711,M,30.5,31.0,30.0
712,M,39.5,39.0,40.0
713,M,43.0,41.0,45.0
714,M,22.0,19.0,25.0
715,M,22.0,19.0,25.0
716,M,31.5,31.0,32.0
717,M,53.0,51.0,55.0
718,M,35.0,33.0,37.0
719,M,47.5,46.0,49.0
720,M,30.0,28.0,32.0
721,M,56.5,57.0,56.0
722,F,34.5,34.0,35.0
723,M,53.0,51.0,55.0
724,M,49.0,49.0,49.0
725,M,53.0,51.0,55.0
726,M,33.0,31.0,35.0
727,M,43.0,41.0,45.0
728,M,43.0,41.0,45.0
729,M,38.0,36.0,40.0
730,M,53.0,51.0,55.0
731,M,24.0,21.0,27.0
732,M,48.0,46.0,50.0
733,M,23.5,22.0,25.0
734,M,36.5,37.0,36.0
735,M,38.0,36.0,40.0
736,M,45.5,44.0,47.0
737,F,34.5,33.0,36.0
738,M,34.0,38.0,30.0
739,M,28.0,26.0,30.0
740,M,41.5,41.0,42.0
741,F,33.0,31.0,35.0
742,F,38.0,36.0,40.0
743,M,53.0,51.0,55.0
744,M,37.5,43.0,32.0
745,M,42.0,41.0,43.0
746,M,33.0,31.0,35.0
747,M,28.0,26.0,30.0
748,M,41.0,41.0,41.0
749,M,33.0,31.0,35.0
750,F,28.0,26.0,30.0
751,M,45.0,45.0,45.0
752,F,29.0,28.0,30.0
753,M,46.5,46.0,47.0
754,M,44.0,43.0,45.0
755,F,68.0,66.0,70.0
756,F,38.0,36.0,40.0
757,M,38.0,36.0,40.0
758,F,49.0,48.0,50.0
759,M,43.0,41.0,45.0
760,M,58.0,56.0,60.0
761,M,40.5,39.0,42.0
762,M,38.0,36.0,40.0
763,M,29.0,28.0,30.0
764,M,48.0,46.0,50.0
765,M,45.0,43.0,47.0
766,F,33.0,31.0,35.0
767,F,30.5,29.0,32.0
768,,,,
769,M,38.0,36.0,40.0
770,M,51.5,52.0,51.0
771,M,34.0,33.0,35.0
772,M,45.0,43.0,47.0
773,M,33.5,36.0,31.0
774,M,63.0,61.0,65.0
775,M,30.5,29.0,32.0
776,MF,36.0,36.0,36.0
777,F,53.0,53.0,53.0
778,M,43.0,41.0,45.0
779,M,22.5,20.0,25.0
780,M,45.5,46.0,45.0
781,M,22.0,19.0,25.0
782,F,28.0,26.0,30.0
783,M,34.5,35.0,34.0
784,M,53.0,51.0,55.0
785,F,38.0,36.0,40.0
786,M,34.0,33.0,35.0
787,M,39.5,39.0,40.0
788,M,27.5,28.0,27.0
789,M,28.0,26.0,30.0
790,M,56.5,56.0,57.0
791,F,22.0,19.0,25.0
792,M,27.5,28.0,27.0
793,M,33.0,31.0,35.0
794,F,35.5,34.0,37.0
795,M,38.0,38.0,38.0
796,M,58.0,56.0,60.0
797,M,40.5,41.0,40.0
798,M,34.0,34.0,34.0
799,M,43.0,42.0,44.0
800,M,37.5,36.0,39.0
801,F,29.5,28.0,31.0
802,F,48.0,46.0,50.0
803,F,54.0,53.0,55.0
804,M,27.5,28.0,27.0
